,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
1601,1601,270489,Jacqueline,Wilson,E,7406640634,0.923076923,Jacqueline A. Wilson
1608,1608,272357,Anter,El-Azab,A,56073675700,0.928571429,Anter El-Azab
1616,1616,274716,Hui,Lin,,56267873700,0.923076923,Hui Li
1617,1617,272170,Yuna,Zhang,,56230384400,0.947368421,Yun Zhang
1624,1624,272672,Simone,Ehrenberger,I,24328406200,0.947368421,Simone Ehrenberger
1636,1636,240542,Chun,Zhou,,55245031800,1,Chun Zhou
1639,1639,242700,Guoqiang,Tan,,54783494300,1,Guoqiang Tan
1641,1641,270163,Li,Lu,,56453772800,0.909090909,Li Luo
1653,1653,242515,James,Lockhart,P,55347548100,0.933333333,James Lockhart
1690,1690,254007,Qiang,Gao,,55106572700,1,Qiang Gao
1702,1702,244864,Xin,Chen,,56181023100,1,Xin Chen
1720,1720,242701,Rui,Wang,,7405335475,1,Rui Wang
1728,1728,249921,Avik,Halder,,46061959500,1,Avik Halder
1732,1732,241613,Rogelio,Oliva,,7102411613,1,Rogelio Oliva
1736,1736,243019,Xin,Wang,,35235704600,1,Xin Wang
1743,1743,274852,Chao,Xu,,55725648800,1,Chao Xu
1747,1747,259606,Paul,Romano,K,26421771800,0.962962963,Paul K. Romano
1760,1760,246220,Ryan,Hadt,G,15044236100,0.956521739,Ryan G. Hadt
1764,1764,274723,Xingwu,Zheng,,56446008800,1,Xingwu Zheng
1768,1768,243296,Hui,Liu,,56267873700,0.923076923,Hui Li
1770,1770,242883,Jian,Lin,,55709983000,0.933333333,Jin Lin
1773,1773,253690,Qiang,Wang,,35178491000,1,Qiang Wang
1784,1784,251149,Chao,Liu,,27170548700,1,Chao Liu
1799,1799,241041,Adolfo,Rodriguez,,56416921800,1,Adolfo Rodriguez
1819,1819,272679,Hao,Wu,,7405581013,1,Hao Wu
1830,1830,244958,Shanna,Estes,L,55885765200,0.965517241,Shanna L. Estes
1856,1856,241187,Xiao,Wang,,56308898100,1,Xiao Wang
1857,1857,251136,Xuanxuan,Bi,,56415749400,1,Xuanxuan Bi
1869,1869,242606,Naseer,Sangwan,,36705222400,1,Naseer Sangwan
1871,1871,241944,Hao,Li,,56486663000,1,Hao Li
1872,1872,245179,Vikram,Tripathi,,15073581600,1,Vikram Tripathi
1877,1877,276876,Taewoo,Tak,,55507593400,1,Taewoo Tak
1903,1903,274714,Cameron,Christensen,T,54388831700,0.95,Cameron Christensen
1907,1907,273449,Jing,Yu,,55682100700,0.933333333,Jiang Yu
1912,1912,58213,Janaka,Edirisinghe,N,53263691600,0.975609756,Janaka N. Edirisinghe
1913,1913,58251,Yunlin,Xu,,14919992300,1,Yunlin Xu
1915,1915,58746,Marcy,Rood Werpy,A,56230168700,0.972972973,Marcy A. Rood Werpy
1917,1917,58850,Peter,Larsen,E,16175332800,0.965517241,Peter E. Larsen
1922,1922,58291,Nicholaos,Demas,G,8952037400,0.971428571,Nicholaos G. Demas
1923,1923,58362,Ram,Vijayagopal,,41262469500,1,Ram Vijayagopal
1924,1924,58777,Emilio,Bunel,E,6506850646,0.965517241,Emilio E. Bunel
1928,1928,228294,Lindsey,Bleem,E,25225124200,0.967741935,Lindsey E. Bleem
1930,1930,58808,Craig,Gerardi,D,16068440700,0.928571429,Craig Gerardi
1931,1931,83927,David,Kissick,J,25822606700,0.967741935,David J. Kissick
1932,1932,58564,Dionysios,Antonopoulos,A,6604053918,0.979591837,Dionysios A. Antonopoulos
1934,1934,82192,Ashish,Tripathi,,7202810231,1,Ashish Tripathi
1935,1935,82193,Jonathan,Emery,D,36660906900,0.96969697,Jonathan D. Emery
1936,1936,82010,Megan,Bennett,E,55456246200,0.967741935,Megan E. Bennett
1939,1939,58090,Roopa,Ganga,S,55639220400,0.916666667,Roopa Ganga
1942,1942,82305,Haidan,Wen,,56545020400,1,Haidan Wen
1944,1944,58309,Fang,Yan,,7202884479,1,Fang Yan
1945,1945,82669,Daniel,Duke,J,24075653500,0.962962963,Daniel J. Duke
1948,1948,81659,Tao,Li,,56255187400,1,Tao Li
1950,1950,82384,Mrinal,Bera,K,55323491900,0.962962963,Mrinal K. Bera
1951,1951,58529,Huiming,Wu,,34876131800,1,Huiming Wu
1956,1956,82797,Zhenzhen,Yang,,56292080400,1,Zhenzhen Yang
1957,1957,58280,Ryan,Lindberg,R,7101777792,0.928571429,Ryan Lindberg
1958,1958,240497,Philippe,Noirot,H,6603786566,0.9375,Philippe Noirot
1959,1959,82161,Ahmet,Uysal,,25925560300,1,Ahmet Uysal
1962,1962,59409,Charudatta,Phatak,M,24067352800,0.944444444,Charudatta Phatak
1963,1963,58326,Yuzi,Liu,,56003592900,1,Yuzi Liu
1967,1967,82357,Hua,Zhou,,56491782000,1,Hua Zhou
1968,1968,58498,Ramesh,Balakrishnan,,7006221890,1,Ramesh Balakrishnan
1971,1971,58728,Zenghu,Han,,56424576700,1,Zenghu Han
1972,1972,59599,Maria,Chan,K,55547124936,0.96,Maria K. Chan
1973,1973,58097,Phay,Ho,J,7402211572,0.947368421,Phay Jo Ho
1974,1974,58329,Yuri,Georgievski,,6604038435,0.96969697,Yuri Georgievskii
1977,1977,59052,Yulia,Peet,V,24537466600,0.96,Yulia V. Peet
1979,1979,58717,Nichols,Romero,A,7006338746,0.96969697,Nichols A. Romero
1980,1980,58480,Michael,Collins,J,47160970300,0.971428571,Michael J. Collins
1983,1983,59498,Zelimir,Djurcic,,8660409600,1,Zelimir Djurcic
1985,1985,58467,Amanda,Youker,J,55228694400,0.967741935,Amanda J. Youker
1991,1991,59314,Venkatram,Vishwanath,,8434374600,1,Venkatram Vishwanath
1992,1992,58294,Ronald,Pope,B,55799767200,0.916666667,Ronald Pope
1995,1995,81618,Wonsuk,Cha,,16229233400,1,Wonsuk Cha
1996,1996,58263,Namdoo,Kim,,55584029200,1,Namdoo Kim
2001,2001,58735,Riccardo,Scarcelli,,56453095100,1,Riccardo Scarcelli
2003,2003,97341,Christine,Tesar,K,35768601200,0.9375,Christine Tesar
2006,2006,58292,Wei,Jiang,,36028322900,1,Wei Jiang
2010,2010,83676,Andreas,Roelofs,K,7006108435,0.9375,Andreas Roelofs
2019,2019,226274,Stefano,Passerini,,7005453080,1,Stefano Passerini
2023,2023,231874,Matthieu,Dorier,,36141762900,1,Matthieu Dorier
2029,2029,226552,Angela,Chang,Y,55773045300,0.965517241,Angela Y. Chang
2031,2031,233147,Fu,Lin,,24450406000,1,Fu Lin
2036,2036,225557,Chen,Chen,,55664378400,1,Chen Chen
2045,2045,227353,Scott,Izzo,J,56519986900,0.909090909,Scott Izzo
2047,2047,230226,James,Gallagher,R,36876124600,0.971428571,James R. Gallagher
2050,2050,228029,Payoli,Aich,,55581011700,1,Payoli Aich
2052,2052,229322,Alejandro,Lopez Bezanilla,,26531508900,0.96,Alejandro Lopez-Bezanilla
2055,2055,229446,Brian,Kiraly,T,36604653900,0.923076923,Brian Kiraly
2058,2058,225690,Hong,Zhang,,55975958100,1,Hong Zhang
2067,2067,230143,Eric,Manley,F,56045648600,0.962962963,Eric F. Manley
2069,2069,231446,Yiqi,Yu,,56301363400,1,Yiqi Yu
2072,2072,229196,Nicole,Labbe,J,8856127300,0.965517241,Nicole J. Labbe
2077,2077,228056,Eric,Masanet,,6506501487,1,Eric Masanet
2078,2078,240560,Ying,Li,,55881872700,1,Ying Li
2080,2080,229213,Jonathan,Helmus,J,16645678800,0.971428571,Jonathan J. Helmus
2083,2083,231438,Saptarshi,Das,,55534141604,1,Saptarshi Das
2086,2086,225509,Christina,Canter,E,55006728400,0.972972973,Christina E. Canter
2090,2090,229055,Nozomi,Shirato,,25822790200,1,Nozomi Shirato
2092,2092,229674,Leonardo,Bautista Gomez,A,56023120900,1,Leonardo A Bautista Gomez
2093,2093,234376,Aftab,Ahmed,,23993630000,1,Aftab Ahmed
2094,2094,232162,Eduardo,Berrocal,,56522924400,1,Eduardo Berrocal
2096,2096,227357,Alexey,Galda,,36930352000,1,Alexey Galda
2098,2098,227142,Kevin,Stutenberg,M,55815204700,0.941176471,Kevin Stutenberg
2099,2099,227143,Qingluan,Xue,,55942839500,1,Qingluan Xue
2102,2102,231735,Min,Si,,55388794100,1,Min Si
2103,2103,232493,Stephen,Wu,M,56354845500,0.96,Stephen M. Wu
2105,2105,266944,Liang,Li,,36072400800,1,Liang Li
2109,2109,230538,Junjie,Zhang,,56459538600,1,Junjie Zhang
2110,2110,231799,Yuanjiang,Pei,,56137043000,1,Yuanjiang Pei
2111,2111,232488,Seungbum,Ha,,56196685800,1,Seungbum Ha
2116,2116,234053,Justin,Connell,G,56548169900,0.96969697,Justin G. Connell
2117,2117,228116,Bing,Yang,,55584794888,1,Bing Yang
2118,2118,241711,Baofu,Qiao,,23670518300,1,Baofu Qiao
2119,2119,232547,Brian,Skinner,,35189621300,1,Brian Skinner
2121,2121,229814,Debojyoti,Ghosh,,55431594000,1,Debojyoti Ghosh
2125,2125,233759,Dugan,Hayes,K,36342454500,0.916666667,Dugan Hayes
2126,2126,229599,Andrew,Swantek,B,36054229500,0.96969697,Andrew B. Swantek
2128,2128,228190,Michael,Dwyer,F,7005193637,0.928571429,Michael Dwyer
2130,2130,233487,Virendra,Ghate,P,14019399400,0.96969697,Virendra P. Ghate
2134,2134,231149,Felix,Adom,K,36863462800,0.909090909,Felix Adom
2138,2138,233217,Christopher,Marshall,W,26644212100,0.977777778,Christopher W. Marshall
2143,2143,228289,Andrew,Ulvestad,P,56094796900,0.9375,Andrew Ulvestad
2144,2144,231581,Diego,Lonardoni,,54940795800,1,Diego Lonardoni
2146,2146,237497,Qingyu,Kong,,7102722731,1,Qingyu Kong
2149,2149,226268,Jared,Allred,M,36607384600,0.965517241,Jared M. Allred
2153,2153,231390,Jason,Avila,R,55929917600,0.962962963,Jason R. Avila
2155,2155,229325,Louise,Suter,M,55402401300,0.923076923,Louise Suter
2157,2157,229543,Eun Sung,Jung,,7202854410,1,Eun Sung Jung
2158,2158,229557,Andrew,Mannix,J,55953839500,0.967741935,Andrew J. Mannix
2162,2162,227861,Taeil,Kim,,56068298500,1,Taeil Kim
2163,2163,229542,Bachir,Aoun,,36494045800,1,Bachir Aoun
2169,2169,226076,Xiangbo,Meng,,56434974700,1,Xiangbo Meng
2170,2170,230940,Yipeng,Sun,,56437038100,1,Yipeng Sun
2177,2177,233216,Alper,Kinaci,,36615400200,1,Alper Kinaci
2180,2180,252674,Christoph,Bostedt,F,6603940286,0.944444444,Christoph Bostedt
2181,2181,58765,Corrie,Clark,E,7403546307,0.965517241,Corrie E. Clark
2185,2185,59316,Lawrence,Michaels,H,55678059100,0.944444444,Lawrence Michaels
2188,2188,59054,Kevin,Gallagher,G,23994832600,0.971428571,Kevin G. Gallagher
2189,2189,59269,Cezary,Bojanowski,,25923835800,1,Cezary Bojanowski
2191,2191,59424,Rajeev,Surendran Assary,,36190545200,1,Rajeev Surendran Assary
2194,2194,206575,Daniel,Bugaris,E,24330618600,0.96969697,Daniel E. Bugaris
2196,2196,58787,Bostjan,Genorio,,6504224865,1,Bostjan Genorio
2197,2197,59136,Stephen,Trask,E,56105362600,0.967741935,Stephen E. Trask
2199,2199,59355,Rajeev,Jain,,7403424212,1,Rajeev Jain
2200,2200,84584,Dooshaye,Moonshiram,,51763923500,1,Dooshaye Moonshiram
2201,2201,59475,Peter,Kenesei,,55923352800,1,Peter Kenesei
2202,2202,217759,Gokhan,Yesilyurt,,12645329200,1,Gokhan Yesilyurt
2203,2203,58856,Anne,March,M,16039890000,0.96,Anne M. March
2206,2206,58883,Jayson,Anton,W,55972232600,0.923076923,Jayson Anton
2207,2207,59553,Rui,Hu,,53863633800,1,Rui Hu
2208,2208,59306,Adrianne,Carr,E,8610361500,0.967741935,Adrianne E. Carr
2210,2210,59307,Elia,Merzari,,23767598200,1,Elia Merzari
2213,2213,217352,Benjamin,Blaiszik,J,15043808100,0.974358974,Benjamin J. Blaiszik
2214,2214,84044,David,Vine,J,10539419500,0.96,David J. Vine
2215,2215,84121,Marvin,Cummings,L,56432237400,0.9375,Marvin Cummings
2216,2216,59421,Ann,Schlenker,M,36816341500,0.928571429,Ann Schlenker
2222,2222,97503,Kevin,Keegan,P,7005576181,0.965517241,Kevin P. Keegan
2224,2224,59467,Meltem,Urgun Demirtas,,8859384500,0.952380952,Meltem Urgun-Demirtas
2226,2226,59401,Shrirang,Abhyankar,G,24921102400,0.947368421,Shrirang Abhyankar
2227,2227,58829,Jeongwoo,Han,,22979416800,1,Jeongwoo Han
2228,2228,58830,Alexander,Heifetz,,7003508748,1,Alexander Heifetz
2230,2230,59389,Aurelien,Bergeron,,55654909600,0.914285714,Aurí©lien Bergeron
2231,2231,59515,Shaolin,Liao,,55512596900,1,Shaolin Liao
2233,2233,59431,Erik,Wilson,H,55654575600,0.962962963,Erik H. Wilson
2234,2234,58865,Charles,Folkerts,H,43861122000,0.941176471,Charles Folkerts
2236,2236,218136,Albert,Lipson,L,35332589700,0.967741935,Albert L. Lipson
2237,2237,59381,Graham,Fletcher,D,7201595085,0.971428571,Graham D. Fletcher
2239,2239,59846,Subhasish,Mohanty,,24436736200,1,Subhasish Mohanty
2242,2242,202035,Nicole,Lambiase,E,55815011500,0.971428571,Nicole E. Lambiase
2243,2243,59122,Alexander,Paramonov,A,8844036800,0.976744186,Alexander A. Paramonov
2246,2246,204869,Robert,Alley,J,43860975100,0.923076923,Robert Alley
2247,2247,59489,Dongguo,Li,,36768531800,1,Dongguo Li
2249,2249,58889,Ayman,Moawad,,37079423500,1,Ayman Moawad
2250,2250,59055,Sheng,Tong,,56424939500,1,Sheng Tong
2251,2251,59402,Steven,Kearney,P,51763653400,0.933333333,Steven Kearney
2252,2252,59806,Andrew,Castiglioni,J,7004208382,0.975609756,Andrew J. Castiglioni
2253,2253,59542,Tianpin,Wu,,55276847800,1,Tianpin Wu
2254,2254,218696,Anthony,Burrell,K,7005794100,0.971428571,Anthony K. Burrell
2255,2255,227509,Jonathan,Foley,J,8931979500,0.96969697,Jonathan J. Foley
2256,2256,225890,James,Kerby,S,8529524700,0.916666667,James Kerby
2259,2259,59292,Chi-Kai,Lin,,55441718700,0.909090909,Chi Kai Lin
2261,2261,58819,Lu,Zhang,,56526082500,1,Lu Zhang
2262,2262,233793,Aydin,Karahan,,55886077400,1,Aydin Karahan
2264,2264,59278,Anil,Mane,U,7003294345,0.956521739,Anil U. Mane
2265,2265,59543,Lei,Cheng,,55425517400,1,Lei Cheng
2266,2266,228462,David,Grabaskas,S,36482750200,0.9375,David Grabaskas
2267,2267,59634,Gilles,Doumy,,16308814700,1,Gilles Doumy
2271,2271,59470,Kurt,Frey,E,22634075700,0.956521739,Kurt E. Frey
2273,2273,59495,Jun,Lu,,56196106900,1,Jun Lu
2274,2274,223152,Zheng,Xue,,55769784300,1,Zheng Xue
2275,2275,223880,Anthony,Ruth,J,55743874600,0.923076923,Anthony Ruth
2277,2277,59502,Namwook,Kim,,43861381700,1,Namwook Kim
2281,2281,59264,Angel,Yanguas-Gil,,8971772700,1,Angel Yanguas-Gil
2285,2285,243746,Aleksandr,Fridlyand,,55750540000,1,Aleksandr Fridlyand
2286,2286,59352,John,Russell,T,56523806200,0.965517241,John T. Russell
2287,2287,84675,Michael,Wojcik,J,7102149525,0.96969697,Michael J. Wojcik
2289,2289,230980,Anthony,DiChiara,D,9241067100,0.918918919,Anthony D. Dichiara
2293,2293,58991,Haiying,He,,8719216500,1,Haiying He
2294,2294,59370,Iulian,Grindeanu,R,56084482100,0.941176471,Iulian Grindeanu
2295,2295,59339,Zifeng,Lu,,55801153300,1,Zifeng Lu
2296,2296,59457,John,Zientek,J,56503799700,0.923076923,John Zientek
2297,2297,206054,Subramanian,Sankaranarayanan,,56042478300,1,Subramanian Sankaranarayanan
2300,2300,59627,Christopher,Harto,B,35797178900,0.974358974,Christopher B. Harto
2301,2301,59827,Yan,Zhou,,49962815300,1,Yan Zhou
2302,2302,213809,John,Murphy,T,55678855600,0.962962963,John T. Murphy
2303,2303,59818,Vakhtang,Makarashvili,,25960234500,1,Vakhtang Makarashvili
2304,2304,218649,Samuel,Seaver,M,55170054300,0.9375,Samuel M D Seaver
2305,2305,220997,Hee Seok,Roh,,55587839900,1,Hee Seok Roh
2308,2308,221130,Eungje,Lee,,55491789400,1,Eungje Lee
2316,2316,222012,Chun,Zhan,,35390693200,1,Chun Zhan
2319,2319,219616,Ralph,Muehleisen,T,6603191046,0.972972973,Ralph T. Muehleisen
2320,2320,220682,Robert,Horner,M,7101789588,0.967741935,Robert M. Horner
2323,2323,224495,Xing,Chen,,14068422200,1,Xing Chen
2324,2324,223811,Edward,Barry,F,56039280900,0.923076923,Edward Barry
2325,2325,229227,Maxime,Leroux,,55523119700,1,Maxime Leroux
2326,2326,224727,Krishna,Reddi,R,56395067900,0.928571429,Krishna Reddi
2330,2330,220681,Jason,Harper,D,55814851600,0.965517241,Jason D. Harper
2333,2333,226570,Nicholas,Frontiere,J,55696312300,0.947368421,Nicholas Frontiere
2334,2334,226016,Vivek,Mishra,,7102563593,1,Vivek Mishra
2336,2336,224205,Cheng-Chien,Chen,,35279248800,0.9375,Cheng Chien Chen
2337,2337,219224,Nicholas,Schwarz,,14008507000,1,Nicholas Schwarz
2339,2339,222954,John,Tramm,R,56027327500,0.96,John R. Tramm
2341,2341,228592,Juan,De Pablo,J,7103284570,0.967741935,Juan J. De Pablo
2342,2342,220014,Shannon,Riha,C,34971886100,0.965517241,Shannon C. Riha
2343,2343,225768,Aaron,Oaks,J,36933849400,0.96,Aaron J. Oaks
2344,2344,219189,Jongjin,Kim,,56491695700,0.909090909,Dongjin Kim
2345,2345,219468,Zhou,Zhou,,55728234000,1,Zhou Zhou
2346,2346,231437,Hee Sok,Chung,,16032898600,1,Hee Sok Chung
2347,2347,218889,Nicholas,Haas,A,56282720100,0.967741935,Nicholas A. Haas
2349,2349,220914,Yan,Li,,56052635600,1,Yan Li
2353,2353,220017,Xiaorui,Zhao,,56358836300,1,Xiaorui Zhao
2354,2354,222328,Deborah,Paskiewicz,M,26423945800,0.975609756,Deborah M. Paskiewicz
2358,2358,225935,Nicola,Ferrier,J,35458640900,0.96969697,Nicola J. Ferrier
2359,2359,224822,Wade,DeGottardi,,26654755400,0.933333333,Wade Degottardi
2361,2361,225072,Walid,Mohamed,M,55655145400,0.928571429,Walid Mohamed
2362,2362,224638,Umakant,Mishra,,24399246600,1,Umakant Mishra
2366,2366,228484,Qingteng,Zhang,,55571919400,1,Qingteng Zhang
2368,2368,218922,Hao,Liu,,56230244200,1,Hao Liu
2371,2371,212911,Jarrad,Hampton-Marcell,T,55813677100,0.979591837,Jarrad T. Hampton-Marcell
2372,2372,222724,Yuan,Zhang,,56230384400,0.947368421,Yun Zhang
2374,2374,226646,Alessandro,Lovato,,44961438200,1,Alessandro Lovato
2375,2375,219773,Azamat,Mametjanov,M,35617453500,0.944444444,Azamat Mametjanov
2376,2376,218152,Megan,Shelby,L,55453900900,0.965517241,Megan L. Shelby
2377,2377,218234,Andrew,Getsoian,G,36863431000,0.9375,Andrew Getsoian
2378,2378,223167,Aiwen,Lei,,7003632949,1,Aiwen Lei
2382,2382,222857,Xiao,Chen,,56013476700,1,Xiao Chen
2385,2385,223306,Yuan,Gao,,56297468100,1,Yuan Gao
2388,2388,219106,Hao,Cai,,56535787600,1,Hao Cai
2392,2392,223487,Jennifer,Esbenshade,L,36902791400,0.95,Jennifer Esbenshade
2394,2394,223251,Jenna,Schroeder,N,56100438000,0.971428571,Jenna N. Schroeder
2396,2396,219722,Gihan,Kwon,,55447475400,1,Gihan Kwon
2397,2397,217989,Leighanne,Gallington,C,35092280400,0.977777778,Leighanne C. Gallington
2403,2403,225440,Sheikh,Mashrafi,T,55972525600,0.971428571,Sheikh T. Mashrafi
2409,2409,218697,Hal,Finkel,J,36630342300,0.909090909,Hal Finkel
2410,2410,219060,Adam,Kraus,R,56463606100,0.96,Adam R. Kraus
2418,2418,225115,Saul,Lapidus,H,26639414800,0.965517241,Saul H. Lapidus
2419,2419,228235,Nicholas,Jackson,E,55597676600,0.972972973,Nicholas E. Jackson
2420,2420,217631,Si,Chen,,24385655800,1,Si Chen
2423,2423,227507,Diego,Fazi,,35236841400,1,Diego Fazi
2424,2424,218123,Robert,Kennedy,M,11139082000,0.96969697,Robert M. Kennedy
2425,2425,218446,Sixue,Qin,,35488923400,0.947368421,Si xue Qin
2426,2426,219809,Andrey,Yakovenko,A,7005122250,0.972972973,Andrey A. Yakovenko
2427,2427,224613,Zhaosheng,Fan,,56531176200,1,Zhaosheng Fan
2429,2429,224261,Xiangyi,Luo,,55555838500,1,Xiangyi Luo
2433,2433,222178,Hao,Li,,56486663000,1,Hao Li
2436,2436,224381,Diana,Berman,,55538333800,1,Diana Berman
2438,2438,218745,Adrian,Pope,C,55871121736,0.962962963,Adrian C. Pope
2439,2439,219170,Bo,Feng,,55990131500,1,Bo Feng
2440,2440,218730,Nicholas,Calta,P,55846486000,0.96969697,Nicholas P. Calta
2441,2441,226454,Matthew,Riddle,E,56428608800,0.933333333,Matthew Riddle
2442,2442,221411,Tomasz,Kolodziej,,56308657800,1,Tomasz Kolodziej
2444,2444,234529,Francesco,Ganda,,15924922400,1,Francesco Ganda
2449,2449,59913,Daniel,Murphy-Olson,E,56530779700,0.95,Daniel Murphy-Olson
2450,2450,214479,Prasanna,Balaprakash,,15073878200,1,Prasanna Balaprakash
2451,2451,59968,Rajesh,Sankaran,,55323638600,1,Rajesh Sankaran
2452,2452,215016,Jack,Gilbert,A,7401452139,0.965517241,Jack A. Gilbert
2457,2457,227286,Colin,Banyon,K,55337373800,0.923076923,Colin Banyon
2460,2460,59621,Mark,Grippo,A,26423669700,0.962962963,Mark A. Grippo
2463,2463,59667,Liliana,Stan,,6701539716,1,Liliana Stan
2464,2464,219233,Kamila,Wiaderek,M,22936036500,0.971428571,Kamila M. Wiaderek
2466,2466,212742,Yuki,Hamada,,16432902800,1,Yuki Hamada
2467,2467,223327,Carolyn,Phillips,L,25628354500,0.972972973,Carolyn L. Phillips
2473,2473,216680,Radja,Boughezal,,14822013100,1,Radja Boughezal
2475,2475,59947,Patrick,Walsh,M,42062623000,0.928571429,Patrick Walsh
2479,2479,59524,Kah Chun,Lau,,24399450300,1,Kah Chun Lau
2480,2480,217358,Katrin,Heitmann,,7004112645,1,Katrin Heitmann
2481,2481,59902,Zhi,Zhou,,55728173400,1,Zhi Zhou
2483,2483,208288,Wei,Zhang,,56256604700,1,Wei Zhang
2484,2484,217419,Oleksandr,Kokhan,,36500889600,1,Oleksandr Kokhan
2485,2485,212828,Trevor,Dzwiniel,L,56434257100,0.9375,Trevor Dzwiniel
2492,2492,213652,Scott,Brombosz,M,9535962600,0.96969697,Scott M. Brombosz
2497,2497,216349,Daniel,Dobrzynski,S,56237258600,0.974358974,Daniel S. Dobrzynski
2500,2500,209753,Qi,Liu,,56136601900,1,Qi Liu
2503,2503,217313,Tyler,Sumner,S,15521055400,0.923076923,Tyler Sumner
2506,2506,59618,Eric,Wisniewski,E,55612470200,0.971428571,Eric E. Wisniewski
2508,2508,223056,Darius,Lisowski,D,6507625951,0.9375,Darius Lisowski
2510,2510,212824,Sarah,Owens,,55066334100,1,Sarah Owens
2513,2513,223714,Pamela,Weisenhorn,B,26634456600,0.944444444,Pamela Weisenhorn
2514,2514,59587,Alexander,Zholents,A,7004548464,0.947368421,Alexander Zholents
2515,2515,216169,Hee Je,Seong,,36992700000,1,Hee Je Seong
2516,2516,260320,Maulik,Shukla,P,56266020000,0.928571429,Maulik Shukla
2517,2517,97542,Krzysztof,Pupek,Z,6506602901,0.9375,Krzysztof Pupek
2519,2519,215860,Jennifer,Steeb,L,26434984300,0.96969697,Jennifer L. Steeb
2521,2521,207723,Jong,Kim,W,55894773500,0.909090909,Jong Woo Kim
2523,2523,212926,Esther,Bowen,E,56202286300,0.965517241,Esther E. Bowen
2525,2525,226028,Xin,Zhao,,55817129800,1,Xin Zhao
2526,2526,223895,Matthew,Weimer,S,55941081200,0.96969697,Matthew S. Weimer
2528,2528,59532,Scott,Collis,M,36342344200,0.923076923,Scott Collis
2531,2531,59678,James,Sevik,M,55677343600,0.916666667,James Sevik
2538,2538,227290,Misbah,Mubarak,,55659275300,1,Misbah Mubarak
2539,2539,216142,Michael,Oberling,B,55604443200,0.941176471,Michael Oberling
2541,2541,218000,Joshua,Auld,A,25654556900,0.962962963,Joshua A. Auld
2542,2542,223846,Ujjal,Das,,8720995800,1,Ujjal Das
2543,2543,218797,Bo,Hu,,55903754300,1,Bo Hu
2544,2544,243578,Reed,Hanson,M,36131220200,0.916666667,Reed Hanson
2547,2547,210204,Wei-Ying,Chen,,55656332200,0.923076923,Wei Ying Chen
2548,2548,223247,Kenley,Pelzer,M,53264645700,0.967741935,Kenley M. Pelzer
2550,2550,216067,Junqi,Xie,,55946620200,1,Junqi Xie
2551,2551,216171,Celia,Porod,H,36675401100,0.962962963,Celia H. Porod
2554,2554,218076,Rui,Xu,,55813427000,1,Rui Xu
2555,2555,218896,YoungHo,Shin,,35216261100,0.96,Young Ho Shin
2559,2559,217572,James,Miller,A,55584797963,0.965517241,James A. Miller
2560,2560,218255,Ketan,Maheshwari,C,22035586700,0.941176471,Ketan Maheshwari
2563,2563,59625,Andrew,Ickes,M,35107180400,0.965517241,Andrew M. Ickes
2564,2564,59863,Cong,Liu,,56216246000,1,Cong Liu
2565,2565,211920,Thomas,Stephens,S,56440319900,0.9375,Thomas Stephens
2566,2566,59659,Karolina,Michalska,M,8711940600,0.947368421,Karolina Michalska
2568,2568,217654,Alvaro,Vazquez Mayagoitia,,56002752600,0.96,Alvaro Vazquez-Mayagoitia
2573,2573,226369,Xianbo,Shi,,56224170500,1,Xianbo Shi
2576,2576,217560,Anouar,Benali,,56330901000,1,Anouar Benali
2579,2579,206573,Nicholas,Smith,A,55326528500,0.96969697,Nicholas A. Smith
2582,2582,218914,Seungmok,Choi,,55548411200,1,Seungmok Choi
2583,2583,219026,Ross,Ellis,J,25225375700,0.96,Ross J. Ellis
2585,2585,217520,Daniel,Hannah,C,54383437600,0.967741935,Daniel C. Hannah
2590,2590,57893,Di,Yun,,36851170000,1,Di Yun
2591,2591,56398,Yiren,Chen,,24176825500,1,Yiren Chen
2592,2592,55623,Zonghai,Chen,,56402068100,1,Zonghai Chen
2593,2593,216284,Jie,Liu,,56431592200,1,Jie Liu
2595,2595,219614,Andrew,Chien,A,7004570702,0.965517241,Andrew A. Chien
2596,2596,216203,Clayton,Dickerson,A,39660994900,0.944444444,Clayton Dickerson
2597,2597,56103,Anand,Bhattacharya,,55421165300,1,Anand Bhattacharya
2598,2598,56129,Volker,Rose,,56216452100,1,Volker Rose
2602,2602,205645,Linda,Spentzouris,K,15849543000,0.944444444,Linda Spentzouris
2607,2607,55875,Changsoo,Chang,,56383079000,1,Changsoo Chang
2608,2608,66428,Karen,Mulfort,L,8613465200,0.967741935,Karen L. Mulfort
2609,2609,56449,Andrey,Sokolov,V,46461976900,0.933333333,Andrey Sokolov
2612,2612,56413,Thomas,Wallner,,36909523900,1,Thomas Wallner
2613,2613,56547,Anita,Ramirez,I,16417971800,0.967741935,Anita I. Ramirez
2616,2616,55924,Neeraj,Shidore,S,24773801400,0.933333333,Neeraj Shidore
2619,2619,221414,Marc,Snir,,7007044401,1,Marc Snir
2620,2620,56831,Brian,Ingram,J,7004405511,0.965517241,Brian J. Ingram
2622,2622,56123,Michael,Wieczorek,J,7101767903,0.974358974,Michael J. Wieczorek
2623,2623,56350,Kazutomo,Yoshii,,13404801000,1,Kazutomo Yoshii
2626,2626,221723,Thomas,Brettin,S,34976299400,0.96969697,Thomas S. Brettin
