,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
297,297,40468,Heidi,Hartmann,M,25821591400,0.96969697,Heidi M. Hartmann
299,299,34511,Thanh,Hua,Q,7006175126,0.956521739,Thanh Q. Hua
300,300,40464,Charles,Doose,L,6602877712,0.967741935,Charles L. Doose
301,301,46597,Lucy,Stols,M,6602604078,0.909090909,Lucy Stols
303,303,48989,Steven,Plotkin,E,7203070411,0.96969697,Steven E. Plotkin
309,309,33262,Ira,Bloom,D,7004823563,0.956521739,Ira D. Bloom
310,310,33460,Linda,Young,,7403664359,1,Linda Young
311,311,36798,Margaret,MacDonell,M,7004123066,0.947368421,Margaret MacDonell
312,312,42366,Igor,Bodnar,,35177390200,1,Igor Bodnar
318,318,25154,Julie,Jastrow,D,6604059270,0.967741935,Julie D. Jastrow
319,319,34859,Frank,Collart,R,35391141100,0.967741935,Frank R. Collart
320,320,34876,Donald,Sinclair,K,36109045100,0.9375,Donald Sinclair
322,322,41776,Guenter,Conzelmann,,8886838800,1,Guenter Conzelmann
323,323,47481,Daniel,Braithwaite,T,55863821200,0.947368421,Daniel Braithwaite
329,329,47726,Bipin,Bihari,,7003758229,1,Bipin Bihari
330,330,48470,Donald,Cronauer,C,55182367600,0.971428571,Donald C. Cronauer
331,331,45313,Brandon,Fisher,L,55142112800,0.96969697,Brandon L. Fisher
332,332,45318,Rosemarie,Wilton,,7003699187,1,Rosemarie Wilton
333,333,45340,Dale,Ferguson,A,55652492700,0.928571429,Dale Ferguson
334,334,45382,Andrew,Jansen,,7201626168,1,Andrew Jansen
337,337,41838,Todd,Hayden,A,24483719500,0.916666667,Todd Hayden
338,338,44783,Gary,Wiederrecht,,7005176453,1,Gary Wiederrecht
339,339,22476,Robert,Wagner,G,56452160900,0.967741935,Robert G. Wagner
343,343,38204,Guy,Jennings,,7202261134,1,Guy Jennings
345,345,5422,John,Schiffer,P,7004536664,0.967741935,John P. Schiffer
350,350,36843,Gordon,Lurie,R,24822399300,0.923076923,Gordon Lurie
351,351,25234,Michael,Wasielewski,R,7005602540,0.976744186,Michael R. Wasielewski
353,353,29876,Michael,Davis,J,55234837900,0.967741935,Michael J. Davis
354,354,39147,James,St. Aubin,A,36452758600,0.9375,James St. Aubin
355,355,39167,Arun,Wagh,S,7004474597,0.956521739,Arun S. Wagh
359,359,46731,Christian,Roehrig,,55060461500,1,Christian Roehrig
361,361,46919,Daniel,Abraham,,7201845097,1,Daniel Abraham
370,370,40828,Emil,Trakhtenberg,,6701581465,1,Emil Trakhtenberg
377,377,28070,Rajesh,Ahluwalia,K,7006946326,0.972972973,Rajesh K. Ahluwalia
380,380,32998,Jacqueline,Copple,M,56305941600,0.918918919,Jacqueline M. Cole
381,381,33000,Charles,Van Groningen,N,6506191905,0.978723404,Charles N. Van Groningen
383,383,40152,Pamela,Sydelko,J,55118019800,0.933333333,Pamela Sydelko
386,386,34384,Robert,Olson,D,7402602627,0.923076923,Robert Olson
389,389,18705,David,France,M,7006023403,0.965517241,David M. France
